"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"120","5/14/2014 22:44","5/14/2014 22:48","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,4,2,4,6,4,4,5,7,4,1,4,6,7,7,4,3,2,"187","33","60","1","41",NA,"Scientists"
"121","5/14/2014 22:55","5/14/2014 22:58","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,4,6,6,6,3,5,5,5,5,6,5,5,6,5,2,2,"187","56","83","2","38",NA,"Scientists"
"122","5/14/2014 23:09","5/14/2014 23:34","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,3,2,4,4,4,3,5,5,4,6,4,6,5,3,3,3,2,"128","62","90","2","40",NA,"Educated"
"123","5/15/2014 0:11","5/15/2014 0:17","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,3,6,4,6,6,5,7,3,2,4,6,5,5,5,5,5,"187","37","84","2","42",NA,"Scientists"
"124","5/15/2014 2:32","5/15/2014 2:40","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,4,5,6,6,6,6,6,5,6,5,5,5,5,5,6,4,"111","55","83","1","42",NA,"Educated"
"125","5/15/2014 2:49","5/15/2014 2:51","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,6,3,5,5,6,6,5,5,4,5,3,5,5,5,5,3,3,"9","64","90","2","43",NA,"Scientists"
"126","5/15/2014 3:16","5/15/2014 3:20","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,5,3,6,6,6,6,6,3,6,5,7,7,7,5,7,6,"24","42","78","2","43",NA,"Educated"
"127","5/15/2014 5:07","5/15/2014 5:12","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,4,4,5,4,6,2,6,6,2,6,5,6,5,3,4,4,3,"9","47","89","1","38",NA,"Scientists"
"129","5/15/2014 7:21","5/15/2014 7:25","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,3,1,2,2,3,2,5,5,4,2,3,4,4,2,3,2,2,"9","44","93","1","38",NA,"Educated"
"130","5/15/2014 8:46","5/15/2014 8:57","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,5,3,7,5,5,6,5,3,6,6,5,5,6,3,6,4,4,2,"128","61","96","2","38",NA,"Scientists"
"131","5/15/2014 9:10","5/15/2014 9:20","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,4,4,3,3,5,4,2,3,2,3,5,5,3,2,4,2,2,"45","45","74","1","39",NA,"Educated"
"132","5/14/2014 12:13","5/15/2014 10:24","1","Scientists",NA,"Scientists_Educated","1",NA,"2",NA,5,5,2,5,5,5,3,2,3,2,5,5,4,2,2,2,3,1,"163","64","95","1","38",NA,"Educated"
