"","X","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Religiousness","Feedback","Target"
"118",119,"5/14/2014 3:34","5/14/2014 3:37",1,"Educated",NA,1,NA,4,3,3,4,2,2,2,3,3,4,3,3,2,3,4,4,3,3,4,187,18,1,40,NA,"Educated"
"119",120,"5/14/2014 3:34","5/14/2014 3:37",1,"Educated",NA,1,NA,1,5,5,5,6,6,6,6,5,5,4,4,6,6,5,5,5,6,4,187,33,2,43,NA,"Scientists"
"120",121,"5/14/2014 3:30","5/14/2014 3:38",1,"Educated",NA,1,NA,1,6,6,4,7,6,6,6,6,7,6,7,7,6,6,6,7,6,4,187,69,2,39,NA,"Scientists"
"121",122,"5/14/2014 3:34","5/14/2014 3:38",1,"Educated",NA,1,NA,2,5,4,4,4,4,4,4,6,4,3,3,4,4,4,4,4,4,4,187,52,1,43,NA,"Educated"
"122",123,"5/14/2014 3:36","5/14/2014 3:39",1,"Educated",NA,1,NA,2,4,5,4,5,6,5,5,5,3,5,5,5,6,4,3,3,4,5,187,48,1,43,NA,"Educated"
"123",124,"5/14/2014 3:31","5/14/2014 3:39",1,"Educated",NA,1,NA,1,3,3,4,4,4,4,2,3,2,4,4,4,4,3,4,3,4,3,187,51,1,39,NA,"Scientists"
"124",125,"5/14/2014 3:29","5/14/2014 3:39",1,"Educated",NA,1,NA,1,6,5,4,5,6,7,5,6,6,7,2,4,5,5,6,4,4,2,187,58,1,40,NA,"Educated"
"125",126,"5/14/2014 3:38","5/14/2014 3:40",1,"Educated",NA,1,NA,1,5,4,4,7,5,7,4,4,6,5,5,5,5,4,4,5,5,5,187,58,1,38,NA,"Scientists"
"126",127,"5/14/2014 3:36","5/14/2014 3:41",1,"Educated",NA,1,NA,1,5,6,6,7,6,6,7,5,5,3,6,4,5,5,5,3,4,4,187,23,2,40,NA,"Scientists"
"127",128,"5/14/2014 3:37","5/14/2014 3:41",1,"Educated",NA,1,NA,1,6,6,7,6,7,7,7,6,6,6,7,6,7,6,6,6,6,5,187,67,2,43,NA,"Educated"
"128",129,"5/14/2014 3:39","5/14/2014 3:42",1,"Educated",NA,1,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,39,2,38,NA,"Educated"
"129",130,"5/14/2014 3:40","5/14/2014 3:43",1,"Educated",NA,1,NA,1,4,7,4,7,7,7,7,4,7,7,7,7,7,4,4,4,4,4,187,47,2,41,NA,"Scientists"
"130",131,"5/14/2014 3:41","5/14/2014 3:45",1,"Educated",NA,1,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,187,40,1,38,NA,"Educated"
"131",132,"5/14/2014 3:42","5/14/2014 3:46",1,"Educated",NA,1,NA,1,6,6,4,7,5,6,6,5,5,4,5,6,5,5,5,6,5,4,187,45,2,40,NA,"Scientists"
"132",133,"5/14/2014 3:41","5/14/2014 3:49",1,"Educated",NA,1,NA,2,5,6,4,7,6,7,4,4,6,4,5,6,6,4,4,4,6,4,187,29,2,43,NA,"Scientists"
"133",134,"5/14/2014 3:47","5/14/2014 3:52",1,"Educated",NA,1,NA,2,6,5,5,6,4,6,6,6,2,4,4,5,5,5,6,6,4,2,187,43,2,40,NA,"Scientists"
"134",135,"5/14/2014 3:49","5/14/2014 3:55",1,"Educated",NA,1,NA,1,5,5,4,5,7,6,5,5,6,1,1,4,5,4,4,5,6,4,187,65,1,38,NA,"Educated"
"135",136,"5/14/2014 3:51","5/14/2014 3:55",1,"Educated",NA,1,NA,2,5,2,1,3,5,4,4,6,5,5,2,3,6,3,4,2,4,3,187,48,1,40,NA,"Educated"
