"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"379","6/17/2014 18:48","6/17/2014 18:55","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","2",5,6,2,7,7,7,6,6,6,3,7,7,6,6,4,5,5,1,"187","22","65","2","39",NA,"Scientists"
"380","6/17/2014 21:21","6/17/2014 21:24","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,4,4,6,6,5,4,5,5,3,6,6,5,5,5,4,5,1,"187","49","82","1","38",NA,"Educated"
"384","6/18/2014 16:45","6/18/2014 16:53","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,2,1,5,5,6,3,4,3,5,4,5,4,2,NA,2,4,1,"187","27","57","1","38",NA,"Scientists"
"385","6/19/2014 4:05","6/19/2014 4:11","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,4,4,6,5,5,6,6,6,6,6,4,6,5,5,5,4,2,"187","35","68","1","41",NA,"Educated"
"394","6/23/2014 17:19","6/23/2014 17:23","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,7,3,7,6,7,6,6,7,2,4,4,7,7,7,7,3,3,"187","55","83","1","41",NA,"Scientists"
"395","6/23/2014 17:40","6/23/2014 17:44","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,3,6,6,6,7,7,6,4,2,3,7,7,7,5,4,4,"187","40","75","1","43",NA,"Educated"
"416","6/27/2014 8:59","6/27/2014 9:04","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,2,1,5,6,5,1,2,1,6,5,5,5,4,4,1,2,1,"187","38","82","2","38",NA,"Scientists"
"438","6/27/2014 9:12","6/27/2014 9:18","1","Scientists",NA,"Scientists_Educated","1",NA,"1","2",3,3,2,4,5,5,5,6,6,3,3,3,5,6,5,5,3,2,"187","21","48","2","39",NA,"Educated"
"472","6/27/2014 9:43","6/27/2014 9:47","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,4,3,6,6,5,4,4,4,2,2,5,4,4,4,4,4,1,"187","40","72","1","38",NA,"Educated"
"476","6/27/2014 9:45","6/27/2014 9:49","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,2,5,6,5,5,6,7,5,5,5,4,4,4,5,4,2,"187","30","59","1","38",NA,"Educated"
"480","6/27/2014 9:46","6/27/2014 9:50","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,4,7,6,7,6,6,7,5,5,5,7,6,6,5,6,3,"187","56","88","2","42",NA,"Scientists"
"483","6/27/2014 9:48","6/27/2014 9:52","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,7,6,7,7,7,7,7,7,5,5,5,7,7,7,7,7,6,"187","23","52","1","40",NA,"Scientists"
"489","6/27/2014 9:50","6/27/2014 9:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,6,5,5,6,6,6,6,6,6,5,6,6,6,6,6,7,5,"187",NA,NA,NA,"39",NA,"Educated"
"493","6/27/2014 9:54","6/27/2014 9:59","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,2,6,6,5,5,6,7,4,4,4,7,7,7,6,6,5,"187","37","86","2","41",NA,"Scientists"
"496","6/27/2014 9:56","6/27/2014 10:01","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,1,7,7,6,7,6,6,1,1,4,6,6,6,5,3,2,"187","55","84","1","38",NA,"Scientists"
"511","6/27/2014 10:12","6/27/2014 10:24","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,4,6,6,6,5,4,3,5,4,5,4,2,3,2,2,2,"187","35","72","1","41",NA,"Educated"
"512","6/27/2014 10:21","6/27/2014 10:25","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,7,4,4,6,6,6,6,6,2,3,4,7,7,7,7,4,4,"187","33","69","1","38",NA,"Educated"
