"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback","Target"
"68","5/14/2014 0:59","5/14/2014 1:06","1","Educated",NA,"Educated_Educated","1",NA,"1",6,7,5,6,6,6,7,6,5,6,5,7,6,6,6,3,3,3,"187","39","1","7","cashier","43",NA,"Educated"
"69","5/14/2014 1:05","5/14/2014 1:08","1","Educated",NA,"Educated_Educated","1",NA,"1",3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,"187","35","1","7",NA,"44",NA,"Educated"
"70","5/14/2014 1:00","5/14/2014 1:13","1","Educated",NA,"Educated_Scientists","1",NA,"2",7,7,4,6,6,7,6,6,4,6,4,4,7,7,7,7,6,4,"187","39","2","7","medical technologist","44",NA,"Scientists"
"71","5/14/2014 1:10","5/14/2014 1:13","1","Educated",NA,"Educated_Scientists","1",NA,"2",2,2,3,4,2,4,2,2,2,5,4,5,3,1,1,1,1,1,"187","21","1","7","Webmaster","44",NA,"Scientists"
"72","5/14/2014 1:11","5/14/2014 1:16","1","Educated",NA,"Educated_Educated","1",NA,"1",4,3,2,3,3,4,2,6,5,4,1,2,5,2,2,5,3,2,"187","39","2","7","Education","39",NA,"Educated"
"73","5/14/2014 1:16","5/14/2014 1:18","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,3,5,6,5,5,6,6,4,4,5,6,4,4,3,4,4,5,"187","63","1","7","nurse","42",NA,"Scientists"
"74","5/14/2014 0:39","5/14/2014 1:19","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,5,4,4,4,4,4,4,3,5,4,4,4,4,4,4,"187","34","1","7","writer","43",NA,"Scientists"
"75","5/14/2014 1:17","5/14/2014 1:22","1","Educated",NA,"Educated_Educated","1",NA,"1",4,2,3,4,5,4,4,5,5,5,2,4,4,1,1,3,4,2,"187","29","1","7",NA,"42",NA,"Educated"
"76","5/14/2014 1:07","5/14/2014 1:24","1","Educated",NA,"Educated_Scientists","1",NA,"4",3,4,2,5,5,5,4,3,4,2,6,6,5,4,5,2,2,2,"187","38","1","6",NA,"41",NA,"Scientists"
"77","5/14/2014 1:20","5/14/2014 1:25","1","Educated",NA,"Educated_Scientists","1",NA,"1",3,4,3,4,5,4,3,4,3,2,2,4,5,5,2,3,3,3,"187","30","2","7","homemaker","42",NA,"Scientists"
"78","5/14/2014 1:21","5/14/2014 1:28","1","Educated",NA,"Educated_Educated","1",NA,"2",6,7,4,7,7,6,7,7,6,4,4,1,7,1,1,7,6,1,"187","54","1","7","it manager","42",NA,"Educated"
"79","5/14/2014 1:18","5/14/2014 1:30","1","Educated",NA,"Educated_Scientists","1",NA,"1",7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,"187","52","2","7","IT","44",NA,"Scientists"
"80","5/14/2014 1:13","5/14/2014 1:35","1","Educated",NA,"Educated_Educated","1",NA,"1",3,3,3,4,5,3,3,3,3,2,6,3,3,3,3,3,3,3,"187","71","2","7","Musician","38",NA,"Educated"
"81","5/14/2014 1:33","5/14/2014 1:37","1","Educated",NA,"Educated_Scientists","1",NA,"2",4,3,4,5,5,4,3,3,3,3,3,4,4,4,4,3,3,3,"187","31","2","7","personal services","44",NA,"Scientists"
"82","5/14/2014 1:44","5/14/2014 1:47","1","Educated",NA,"Educated_Educated","1",NA,"1",5,6,5,6,7,6,6,6,6,5,6,5,5,6,6,6,7,5,"187","64","1","7","social worker","42",NA,"Educated"
"83","5/14/2014 1:36","5/14/2014 1:50","1","Educated",NA,"Educated_Educated","1",NA,"1",4,4,1,4,3,4,4,5,4,4,1,1,4,3,4,4,3,3,"187","40","2","7","actuary","40",NA,"Educated"
"84","5/14/2014 1:50","5/14/2014 1:53","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,7,7,7,7,6,7,7,7,5,5,5,7,6,6,6,6,5,"187","18","1","6",NA,"41",NA,"Scientists"
"85","5/14/2014 1:50","5/14/2014 1:53","1","Educated",NA,"Educated_Educated","1",NA,"1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"187","31","1","7","retail","41",NA,"Educated"
"86","5/14/2014 1:56","5/14/2014 1:59","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,5,6,7,7,7,6,4,3,7,6,7,7,6,6,3,4,1,"187","34","2","7","Sales","41",NA,"Scientists"
"87","5/14/2014 1:58","5/14/2014 2:02","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,3,3,"187","59","2","7","fashion","43",NA,"Scientists"
"88","5/14/2014 2:04","5/14/2014 2:07","1","Educated",NA,"Educated_Educated","1",NA,"1",6,4,4,4,5,5,4,4,4,3,5,3,4,4,4,4,4,4,"187","61","2","7","none","40",NA,"Educated"
"89","5/14/2014 1:59","5/14/2014 2:09","1","Educated",NA,"Educated_Educated","1",NA,"2",6,6,5,5,6,6,5,6,6,4,2,6,5,5,3,4,5,2,"187","57","2","7","customer care ","42",NA,"Educated"
"90","5/14/2014 2:08","5/14/2014 2:09","1","Educated",NA,"Educated_Scientists","1",NA,"2",7,6,6,6,6,6,6,6,6,7,5,5,6,6,6,6,6,6,"187","46","1","7","analyst","43",NA,"Scientists"
"91","5/14/2014 2:13","5/14/2014 2:17","1","Educated",NA,"Educated_Educated","1",NA,"1",4,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,"187","32","1","7","Police","39",NA,"Educated"
"92","5/14/2014 2:21","5/14/2014 2:23","1","Educated",NA,"Educated_Educated","1",NA,"2",5,5,4,6,5,6,5,5,5,5,5,5,5,4,4,4,5,5,"187","42","1","7","Programmer/Analyst","43",NA,"Educated"
"93","5/14/2014 2:18","5/14/2014 2:24","1","Educated",NA,"Educated_Educated","1",NA,"1",5,5,3,5,6,5,5,5,6,6,6,5,6,6,6,5,6,4,"187","24","1","7","accountant","38",NA,"Educated"
"94","5/14/2014 1:53","5/14/2014 2:33","1","Educated",NA,"Educated_Scientists","1",NA,"1",6,6,6,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,"187","67","1","7","si manage","38",NA,"Scientists"
"95","5/14/2014 2:31","5/14/2014 2:34","1","Educated",NA,"Educated_Scientists","1",NA,"4",6,6,2,7,4,5,4,5,6,3,2,4,4,6,6,3,5,5,"187","38","1","7","Physician","38",NA,"Scientists"
"96","5/14/2014 2:37","5/14/2014 2:41","1","Educated",NA,"Educated_Scientists","1",NA,"2",1,4,4,7,1,4,1,1,4,4,7,7,4,1,1,1,4,1,"187","47","2","7","Owner/Teacher","38",NA,"Scientists"
"97","5/14/2014 2:44","5/14/2014 2:48","1","Educated",NA,"Educated_Educated","1",NA,"1",4,4,4,6,5,6,6,5,5,4,5,4,4,4,4,4,4,3,"187","59","2","7","Accountant","44",NA,"Educated"
"98","5/14/2014 2:50","5/14/2014 2:56","1","Educated",NA,"Educated_Educated","1",NA,"1",4,5,2,6,6,6,4,6,5,5,2,5,6,3,3,4,4,2,"187","49","1","7","disabled/retired","40",NA,"Educated"
"99","5/14/2014 2:55","5/14/2014 2:58","1","Educated",NA,"Educated_Scientists","1",NA,"1",6,3,4,6,6,6,3,5,6,6,6,6,6,4,4,3,3,6,"187","29","1","7","Safety","39",NA,"Scientists"
"100","5/14/2014 2:56","5/14/2014 2:58","1","Educated",NA,"Educated_Scientists","1",NA,"2",5,6,3,7,6,6,5,6,7,5,6,4,7,7,7,7,3,4,"187","64","2","7","counselor","38",NA,"Scientists"
"101","5/14/2014 2:59","5/14/2014 3:00","1","Educated",NA,"Educated_Educated","1",NA,"4",5,6,6,5,5,6,5,6,6,5,6,7,6,6,6,5,5,5,"187","63","1","6",NA,"44",NA,"Educated"
"102","5/14/2014 2:58","5/14/2014 3:01","1","Educated",NA,"Educated_Educated","1",NA,"1",5,5,4,4,6,5,2,5,4,2,2,3,6,1,3,4,5,1,"187","34","1","7","property manager","40",NA,"Educated"
"103","5/14/2014 2:59","5/14/2014 3:01","1","Educated",NA,"Educated_Educated","1",NA,"2",7,7,7,6,7,7,7,6,6,5,5,7,7,5,7,7,6,6,"187","41","2","7","homemaker/retired","44",NA,"Educated"
"104","5/14/2014 2:59","5/14/2014 3:04","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"187","57","2","7","stay at home mom","42",NA,"Scientists"
"105","5/14/2014 2:58","5/14/2014 3:07","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,6,4,4,6,6,6,6,2,6,4,4,6,6,6,6,6,2,"187","25","2","7","Psychiatric Therapist","43",NA,"Scientists"
"106","5/14/2014 3:05","5/14/2014 3:08","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,4,2,6,6,6,4,6,6,5,5,5,6,4,2,4,4,3,"187","64","1","7","management","41",NA,"Scientists"
"107","5/14/2014 3:09","5/14/2014 3:13","1","Educated",NA,"Educated_Scientists","1",NA,"1",2,2,2,6,3,5,2,1,4,2,1,5,2,1,1,1,2,2,"187","32","1","7","Retired","41",NA,"Scientists"
"108","5/14/2014 3:09","5/14/2014 3:14","1","Educated",NA,"Educated_Educated","1",NA,"1",3,2,3,3,5,5,5,4,5,5,6,3,6,5,6,4,3,3,"187","60","2","7","Consulting Director","42",NA,"Educated"
"109","5/14/2014 3:13","5/14/2014 3:16","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,6,3,6,6,7,7,6,6,5,3,4,6,4,3,4,4,3,"187","52","2","7","financial analyst","39",NA,"Scientists"
"110","5/14/2014 3:13","5/14/2014 3:16","1","Educated",NA,"Educated_Educated","1",NA,"2",7,4,3,7,7,6,4,4,6,3,1,5,4,5,4,4,6,4,"187","43","1","7","Librarian","38",NA,"Educated"
"111","5/14/2014 3:14","5/14/2014 3:18","1","Educated",NA,"Educated_Educated","1",NA,"1",3,3,3,3,2,2,5,3,6,2,5,2,1,1,2,2,2,2,"187","36","1","7","construction","44",NA,"Educated"
